season,startTime,endTime,boss,maxDifficulty
1,2021-03-25 12:00:00,2021-03-31 23:59:59,Hieronymus_Street,Hardcore
2,2021-04-08 12:00:00,2021-04-14 23:59:59,Binah_Street,Hardcore
3,2021-04-29 12:30:00,2021-05-05 23:59:59,Chesed_Outdoor,Hardcore
4,2021-05-13 12:30:00,2021-05-19 23:59:59,ShiroKuro,Hardcore
5,2021-05-27 12:30:00,2021-06-02 23:59:59,Hieronymus,Extreme
6,2021-06-10 12:30:00,2021-06-16 23:59:59,Binah,Extreme
7,2021-06-24 12:30:00,2021-06-27 23:59:59,Hieronymus,Extreme
8,2021-06-30 12:30:00,2021-07-07 23:59:59,ShiroKuro_Indoor,Extreme
9,2021-07-15 12:30:00,2021-07-21 23:59:59,Chesed,Extreme
10,2021-07-29 12:30:00,2021-08-04 23:59:59,Kaitenger,Extreme
11,2021-08-12 12:30:00,2021-08-18 23:59:59,ShiroKuro,Extreme
12,2021-08-26 12:30:00,2021-09-01 23:59:59,Hieronymus_Street,Extreme
13,2021-09-09 12:30:00,2021-09-15 23:59:59,Chesed_Outdoor,Extreme
14,2021-09-23 12:30:00,2021-09-26 23:59:59,Hieronymus_Street,Extreme
15,2021-09-29 12:30:00,2021-10-05 23:59:59,Kaitenger,Extreme
16,2021-10-12 12:30:00,2021-10-19 23:59:59,ShiroKuro_Indoor,Extreme
17,2021-10-27 12:30:00,2021-11-02 23:59:59,Perorozilla,Extreme
18,2021-11-09 12:30:00,2021-11-16 23:59:59,Kaitenger_Street,Extreme
19,2021-11-24 12:30:00,2021-11-27 23:59:59,Perorozilla,Extreme
20,2021-11-30 12:30:00,2021-12-07 23:59:59,Binah,Extreme
21,2021-12-15 12:30:00,2021-12-21 23:59:59,Hieronymus,Extreme
22,2021-12-29 12:30:00,2022-01-04 23:59:59,Chesed_Outdoor,Extreme
23,2022-01-12 12:30:00,2022-01-18 23:59:59,Perorozilla_Outdoor,Extreme
24,2022-02-02 12:00:00,2022-02-08 23:59:59,HOD,Extreme
25,2022-02-16 12:00:00,2022-02-22 23:59:59,ShiroKuro,Insane
26,2022-03-02 11:00:00,2022-03-08 23:59:59,Kaitenger,Insane
27,2022-03-16 11:00:00,2022-03-22 23:59:59,Binah_Street,Insane
28,2022-03-30 11:00:00,2022-04-06 03:59:59,HOD,Insane
29,2022-04-13 11:00:00,2022-04-20 03:59:59,Chesed,Insane
30,2022-05-04 11:00:00,2022-05-11 03:59:59,Perorozilla,Insane
